Month,Day,Year,Covid,Day of Week,Holiday,Season,Previous Year Sales,Label
10,16,2017,0,Monday,1,Fall,0,16
10,17,2017,0,Tuesday,1,Fall,1,3
10,18,2017,0,Wednesday,1,Fall,0,0
10,19,2017,0,Thursday,1,Fall,0,0
10,20,2017,0,Friday,1,Fall,0,7
10,21,2017,0,Saturday,1,Fall,0,0
10,22,2017,0,Sunday,1,Fall,0,0
10,23,2017,0,Monday,1,Fall,0,11
10,24,2017,0,Tuesday,1,Fall,1,5
10,25,2017,0,Wednesday,1,Fall,0,1
10,26,2017,0,Thursday,1,Fall,1,3
10,27,2017,0,Friday,1,Fall,0,6
10,28,2017,0,Saturday,1,Fall,0,0
10,29,2017,0,Sunday,1,Fall,0,0
10,30,2017,0,Monday,1,Fall,0,11
10,31,2017,0,Tuesday,1,Fall,1,8
11,1,2017,0,Wednesday,1,Fall,0,1
11,2,2017,0,Thursday,1,Fall,1,0
11,3,2017,0,Friday,1,Fall,0,2
11,4,2017,0,Saturday,1,Fall,0,0
11,5,2017,0,Sunday,1,Fall,0,0
11,6,2017,0,Monday,1,Fall,0,1
11,7,2017,0,Tuesday,1,Fall,0,0
11,8,2017,0,Wednesday,1,Fall,4,0
11,9,2017,0,Thursday,1,Fall,2,0
11,10,2017,0,Friday,1,Fall,0,0
11,11,2017,0,Saturday,1,Fall,0,0
11,12,2017,0,Sunday,1,Fall,0,0
11,13,2017,0,Monday,1,Fall,0,0
11,14,2017,0,Tuesday,1,Fall,0,0
11,15,2017,0,Wednesday,1,Fall,8,0
11,16,2017,0,Thursday,1,Fall,1,0
11,17,2017,0,Friday,1,Fall,2,0
11,18,2017,0,Saturday,1,Fall,1,0
11,19,2017,0,Sunday,1,Fall,0,0
11,20,2017,0,Monday,1,Fall,0,4
11,21,2017,0,Tuesday,1,Fall,4,3
11,22,2017,0,Wednesday,1,Fall,0,0
11,23,2017,0,Thursday,1,Fall,0,0
11,24,2017,0,Friday,1,Fall,0,0
11,25,2017,0,Saturday,1,Fall,0,0
11,26,2017,0,Sunday,1,Fall,0,0
11,27,2017,0,Monday,1,Fall,0,14
11,28,2017,0,Tuesday,1,Fall,14,4
11,29,2017,0,Wednesday,1,Fall,5,6
11,30,2017,0,Thursday,1,Fall,2,0
12,1,2017,0,Friday,1,Fall,0,4
12,2,2017,0,Saturday,1,Fall,2,0
12,3,2017,0,Sunday,1,Fall,0,0
12,4,2017,0,Monday,1,Fall,0,13
12,5,2017,0,Tuesday,1,Fall,0,6
12,6,2017,0,Wednesday,1,Fall,12,5
12,7,2017,0,Thursday,1,Fall,1,2
12,8,2017,0,Friday,1,Fall,2,4
12,9,2017,0,Saturday,1,Fall,0,0
12,10,2017,0,Sunday,1,Fall,0,0
12,11,2017,0,Monday,1,Fall,0,11
12,12,2017,0,Tuesday,1,Fall,9,2
12,13,2017,0,Wednesday,1,Fall,4,2
12,14,2017,0,Thursday,1,Fall,6,6
12,15,2017,0,Friday,1,Fall,3,1
12,16,2017,0,Saturday,1,Fall,1,0
12,17,2017,0,Sunday,1,Fall,0,0
12,18,2017,0,Monday,1,Fall,0,0
12,19,2017,0,Tuesday,1,Fall,5,0
12,20,2017,0,Wednesday,1,Fall,1,0
12,21,2017,0,Thursday,1,Fall,0,11
12,22,2017,0,Friday,1,Winter,2,0
12,23,2017,0,Saturday,1,Winter,2,0
12,24,2017,0,Sunday,1,Winter,0,0
12,25,2017,0,Monday,1,Winter,0,0
12,26,2017,0,Tuesday,1,Winter,0,0
12,27,2017,0,Wednesday,1,Winter,2,7
12,28,2017,0,Thursday,1,Winter,0,3
12,29,2017,0,Friday,1,Winter,0,2
12,30,2017,0,Saturday,1,Winter,0,0
12,31,2017,0,Sunday,1,Winter,0,0
1,1,2018,0,Monday,0,Winter,4,0
1,2,2018,0,Tuesday,0,Winter,0,10
1,3,2018,0,Wednesday,0,Winter,2,3
1,4,2018,0,Thursday,0,Winter,1,2
1,5,2018,0,Friday,0,Winter,0,4
1,6,2018,0,Saturday,0,Winter,2,0
1,7,2018,0,Sunday,0,Winter,0,0
1,8,2018,0,Monday,0,Winter,0,9
1,9,2018,0,Tuesday,0,Winter,3,1
1,10,2018,0,Wednesday,0,Winter,1,1
1,11,2018,0,Thursday,0,Winter,1,1
1,12,2018,0,Friday,0,Winter,1,3
1,13,2018,0,Saturday,0,Winter,2,0
1,14,2018,0,Sunday,0,Winter,0,0
1,15,2018,0,Monday,0,Winter,0,0
1,16,2018,0,Tuesday,0,Winter,0,4
1,17,2018,0,Wednesday,0,Winter,4,1
1,18,2018,0,Thursday,0,Winter,0,1
1,19,2018,0,Friday,0,Winter,1,4
1,20,2018,0,Saturday,0,Winter,0,0
1,21,2018,0,Sunday,0,Winter,0,0
1,22,2018,0,Monday,0,Winter,0,2
1,23,2018,0,Tuesday,0,Winter,2,1
1,24,2018,0,Wednesday,0,Winter,0,1
1,25,2018,0,Thursday,0,Winter,0,1
1,26,2018,0,Friday,0,Winter,0,2
1,27,2018,0,Saturday,0,Winter,1,0
1,28,2018,0,Sunday,0,Winter,0,0
1,29,2018,0,Monday,0,Winter,0,6
1,30,2018,0,Tuesday,0,Winter,2,1
1,31,2018,0,Wednesday,0,Winter,1,2
2,1,2018,0,Thursday,0,Winter,0,2
2,2,2018,0,Friday,0,Winter,0,1
2,3,2018,0,Saturday,0,Winter,2,0
2,4,2018,0,Sunday,0,Winter,0,0
2,5,2018,0,Monday,0,Winter,0,3
2,6,2018,0,Tuesday,0,Winter,2,0
2,7,2018,0,Wednesday,0,Winter,3,1
2,8,2018,0,Thursday,0,Winter,2,0
2,9,2018,0,Friday,0,Winter,0,2
2,10,2018,0,Saturday,0,Winter,1,0
2,11,2018,0,Sunday,0,Winter,0,0
2,12,2018,0,Monday,0,Winter,0,9
2,13,2018,0,Tuesday,0,Winter,1,1
2,14,2018,0,Wednesday,0,Winter,3,2
2,15,2018,0,Thursday,0,Winter,1,2
2,16,2018,0,Friday,0,Winter,1,0
2,17,2018,0,Saturday,0,Winter,0,0
2,18,2018,0,Sunday,0,Winter,0,0
2,19,2018,0,Monday,0,Winter,0,3
2,20,2018,0,Tuesday,0,Winter,2,0
2,21,2018,0,Wednesday,0,Winter,2,0
2,22,2018,0,Thursday,0,Winter,0,4
2,23,2018,0,Friday,0,Winter,0,3
2,24,2018,0,Saturday,0,Winter,1,0
2,25,2018,0,Sunday,0,Winter,0,0
2,26,2018,0,Monday,0,Winter,0,1
2,27,2018,0,Tuesday,0,Winter,2,2
2,28,2018,0,Wednesday,0,Winter,0,0
3,1,2018,0,Thursday,0,Winter,1,1
3,2,2018,0,Friday,0,Winter,0,3
3,3,2018,0,Saturday,0,Winter,0,0
3,4,2018,0,Sunday,0,Winter,0,0
3,5,2018,0,Monday,0,Winter,0,4
3,6,2018,0,Tuesday,0,Winter,2,4
3,7,2018,0,Wednesday,0,Winter,2,0
3,8,2018,0,Thursday,0,Winter,2,0
3,9,2018,0,Friday,0,Winter,1,2
3,10,2018,0,Saturday,0,Winter,1,0
3,11,2018,0,Sunday,0,Winter,0,0
3,12,2018,0,Monday,0,Winter,0,6
3,13,2018,0,Tuesday,0,Winter,1,0
3,14,2018,0,Wednesday,0,Winter,1,3
3,15,2018,0,Thursday,0,Winter,0,5
3,16,2018,0,Friday,0,Winter,0,0
3,17,2018,0,Saturday,0,Winter,0,0
3,18,2018,0,Sunday,0,Winter,0,0
3,19,2018,0,Monday,0,Winter,0,8
3,20,2018,0,Tuesday,0,Winter,2,0
3,21,2018,0,Wednesday,0,Spring,0,3
3,22,2018,0,Thursday,0,Spring,2,2
3,23,2018,0,Friday,0,Spring,2,3
3,24,2018,0,Saturday,0,Spring,0,0
3,25,2018,0,Sunday,0,Spring,0,0
3,26,2018,0,Monday,0,Spring,0,5
3,27,2018,0,Tuesday,0,Spring,4,4
3,28,2018,0,Wednesday,0,Spring,1,2
3,29,2018,0,Thursday,0,Spring,1,0
3,30,2018,0,Friday,0,Spring,1,0
3,31,2018,0,Saturday,0,Spring,0,0
4,1,2018,0,Sunday,0,Spring,0,0
4,2,2018,0,Monday,0,Spring,0,9
4,3,2018,0,Tuesday,0,Spring,1,3
4,4,2018,0,Wednesday,0,Spring,2,1
4,5,2018,0,Thursday,0,Spring,1,0
4,6,2018,0,Friday,0,Spring,1,0
4,7,2018,0,Saturday,0,Spring,0,0
4,8,2018,0,Sunday,0,Spring,0,0
4,9,2018,0,Monday,0,Spring,0,0
4,10,2018,0,Tuesday,0,Spring,0,10
4,11,2018,0,Wednesday,0,Spring,3,2
4,12,2018,0,Thursday,0,Spring,5,4
4,13,2018,0,Friday,0,Spring,1,0
4,14,2018,0,Saturday,0,Spring,0,0
4,15,2018,0,Sunday,0,Spring,0,0
4,16,2018,0,Monday,0,Spring,0,7
4,17,2018,0,Tuesday,0,Spring,3,0
4,18,2018,0,Wednesday,0,Spring,1,3
4,19,2018,0,Thursday,0,Spring,1,0
4,20,2018,0,Friday,0,Spring,0,0
4,21,2018,0,Saturday,0,Spring,0,0
4,22,2018,0,Sunday,0,Spring,0,0
4,23,2018,0,Monday,0,Spring,0,3
4,24,2018,0,Tuesday,0,Spring,2,0
4,25,2018,0,Wednesday,0,Spring,2,0
